latitude,housing_median_age,total_rooms,households,median_income,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,target
32.73,22,6066.0,817.0,5.0952,0,0,1,141700
34.16,16,5790.0,1139.0,4.1273,0,0,0,335200
32.75,26,729.0,110.0,4.1036,0,0,1,162300
34.96,39,1607.0,341.0,2.199,0,0,0,113600
36.68,24,3330.0,702.0,2.4766,0,0,0,108800
33.84,34,1444.0,218.0,3.8455,0,0,0,180300
33.89,25,3438.0,458.0,5.9973,1,0,0,165100
34.05,42,4526.0,1146.0,2.2923,0,0,0,250300
33.87,16,4568.0,575.0,6.7265,0,0,0,264000
40.93,25,2866.0,461.0,3.8076,0,0,1,73900
37.64,22,2388.0,387.0,3.448,1,0,0,102600
34.01,42,1126.0,238.0,2.3729,0,0,0,114400
36.55,30,3306.0,384.0,3.7048,0,0,1,487400
33.98,30,1111.0,231.0,2.05,0,0,0,115700
33.8,22,7437.0,890.0,2.5216,1,0,0,184200
37.61,30,3518.0,135.0,2.9838,1,0,0,164900
34.4,36,2204.0,329.0,4.5283,0,0,1,327100
39.13,17,2885.0,562.0,1.8085,1,0,0,70000
33.8,38,1800.0,335.0,4.3,0,0,0,165800
33.75,41,1686.0,369.0,2.75,0,0,1,187100
33.86,16,10221.0,1493.0,5.4948,0,0,0,203800
38.44,14,3670.0,456.0,6.0452,1,0,0,241200
36.94,18,1404.0,313.0,2.3192,0,0,0,171600
37.91,29,6309.0,890.0,5.3362,0,1,0,275600
39.13,33,3098.0,504.0,1.7727,1,0,0,53300
37.71,36,1176.0,183.0,4.3208,0,1,0,191800
39.21,50,1964.0,307.0,2.5679,1,0,0,69400
33.74,16,3368.0,563.0,4.0162,0,0,0,201500
34.19,16,8997.0,1653.0,3.6703,0,0,0,229000
34.43,15,1827.0,379.0,3.3773,0,0,1,112800
37.95,33,5079.0,628.0,8.1904,0,1,0,469100
33.68,10,2425.0,332.0,9.035,0,0,0,375600
34.14,28,3980.0,421.0,10.9796,0,0,0,500301
37.68,35,2442.0,448.0,3.25,0,1,0,149200
39.72,18,8831.0,1524.0,1.9911,1,0,0,99100
34.08,23,1945.0,289.0,4.9467,1,0,0,185400
34.09,35,1535.0,319.0,2.6971,0,0,0,189200
34.16,52,1627.0,306.0,3.7583,1,0,0,240200
37.57,28,4700.0,846.0,4.2728,0,0,1,300300
33.47,23,4221.0,634.0,4.16,0,0,0,300300
33.73,33,2631.0,388.0,5.7533,0,0,1,410100
37.62,7,10162.0,1575.0,3.2451,1,0,0,128100
34.07,52,2327.0,331.0,3.5875,0,0,0,234700
37.95,18,2896.0,346.0,7.4978,1,0,0,288300
36.32,23,3537.0,532.0,2.8733,1,0,0,89100
33.99,4,2426.0,418.0,3.0708,0,0,0,186600
33.84,23,7286.0,1073.0,5.3629,0,0,0,232900
34.16,11,3772.0,789.0,3.4106,0,0,0,209700
33.93,38,3953.0,619.0,5.3596,0,0,0,364200
37.78,52,1187.0,208.0,3.6438,0,1,0,201600
32.8,19,2038.0,290.0,5.175,0,0,0,187500
34.06,52,4806.0,1245.0,2.7722,0,0,0,500301
34.02,50,1433.0,260.0,3.4442,0,0,0,130600
37.34,26,4570.0,905.0,4.2625,0,0,0,263200
37.62,44,1981.0,335.0,4.3238,0,0,1,224500
37.76,52,2592.0,321.0,5.0188,0,1,0,335600
38.05,30,1552.0,307.0,1.9767,0,1,0,148000
33.88,34,1641.0,261.0,4.975,0,0,0,215700
32.78,29,2688.0,360.0,4.3375,1,0,0,86700
38.62,16,5122.0,697.0,4.8913,0,0,0,244900
37.7,13,10965.0,1391.0,6.9827,1,0,0,314000
34.11,26,3407.0,532.0,2.3388,1,0,0,80700
38.21,18,4876.0,699.0,4.3365,1,0,0,174500
34.09,35,2244.0,382.0,4.3167,0,0,0,165800
39.23,39,1535.0,179.0,4.2519,1,0,0,99200
34.09,32,754.0,185.0,2.3341,0,0,0,250300
37.76,39,3889.0,618.0,3.9346,0,1,0,338300
34.56,5,12085.0,1790.0,4.5329,1,0,0,145800
34.2,23,3640.0,492.0,6.0613,0,0,0,236100
35.03,30,3065.0,467.0,3.6693,1,0,0,72100
38.01,16,1787.0,284.0,3.7432,0,1,0,67800
37.76,34,3294.0,445.0,5.4893,0,1,0,420600
37.76,30,6299.0,1139.0,4.9053,0,1,0,386400
32.58,17,2605.0,530.0,2.55,0,0,1,133100
39.9,20,1839.0,320.0,2.3221,1,0,0,71200
37.31,28,4469.0,662.0,6.7095,0,0,0,336200
38.94,22,2599.0,358.0,3.0171,0,0,0,96100
35.54,35,9558.0,1329.0,3.7145,1,0,0,40700
34.07,31,1306.0,258.0,2.6424,0,0,0,188800
34.09,40,2115.0,357.0,2.8474,0,0,0,198400
32.75,52,1725.0,190.0,8.4548,0,0,1,500301
33.68,27,2035.0,308.0,5.8312,0,0,0,239500
33.98,43,968.0,188.0,1.5315,0,0,0,98500
34.03,19,1186.0,272.0,1.6333,0,0,0,310300
37.58,34,3010.0,279.0,12.7291,0,0,1,500301
36.45,36,1831.0,312.0,2.4205,1,0,0,60300
33.04,12,2094.0,234.0,7.0769,0,0,0,400300
34.28,35,1867.0,256.0,4.4083,1,0,0,108300
34.38,23,351.0,57.0,2.7375,0,0,1,225300
34.24,36,1961.0,307.0,4.395,0,0,0,184300
34.1,6,6887.0,1154.0,2.3308,1,0,0,91400
38.71,18,4742.0,660.0,4.6836,1,0,0,102300
36.51,31,1495.0,226.0,3.0321,1,0,0,83900
33.79,29,5262.0,901.0,4.4071,0,0,0,365900
33.82,29,1831.0,390.0,2.6347,0,0,0,208400
32.72,24,6429.0,904.0,4.3813,0,0,1,137300
35.69,14,5929.0,796.0,4.1158,0,0,0,249000
34.42,20,848.0,115.0,6.4244,0,0,0,375300
36.34,26,1679.0,249.0,3.2167,1,0,0,84200
34.19,33,2658.0,419.0,4.4319,0,0,0,204000
33.04,11,3060.0,269.0,4.175,1,0,0,198400
33.88,7,4545.0,877.0,2.7387,1,0,0,117300
32.81,26,2812.0,375.0,5.039,0,0,1,184400
40.75,20,1432.0,210.0,2.0935,1,0,0,74800
34.03,52,629.0,121.0,2.5083,0,0,0,146600
33.86,39,3657.0,642.0,2.675,0,0,0,161100
34.28,22,4327.0,847.0,2.9652,0,0,0,165100
34.07,3,6370.0,806.0,5.8875,1,0,0,162300
34.08,30,3586.0,573.0,2.75,1,0,0,86100
32.61,31,4748.0,715.0,3.8096,0,0,1,140200
37.67,16,4473.0,1021.0,4.4303,0,0,1,146800
40.51,20,2102.0,340.0,2.785,1,0,0,100900
34.1,14,14272.0,2299.0,2.7878,1,0,0,104100
36.62,40,1563.0,230.0,2.775,0,0,0,258600
33.8,35,387.0,39.0,3.7167,1,0,0,100300
37.78,52,2687.0,424.0,4.3652,0,1,0,421600
34.04,22,4364.0,940.0,3.9673,0,0,0,283600
34.06,21,5450.0,1335.0,2.1214,0,0,0,475300
39.65,33,496.0,67.0,3.9429,1,0,0,87800
33.97,29,2376.0,528.0,2.93,0,0,0,156300
34.08,43,2084.0,352.0,2.2234,1,0,0,74900
33.82,28,9301.0,1635.0,4.3708,0,0,0,329200
34.08,33,1615.0,257.0,3.2063,1,0,0,115500
34.05,50,4330.0,758.0,3.3833,0,0,0,338400
33.79,13,4493.0,880.0,3.463,0,0,0,224500
35.64,17,2783.0,427.0,1.6023,1,0,0,68800
32.69,27,2146.0,347.0,3.8437,0,0,1,116100
37.37,30,1559.0,266.0,4.1125,0,0,0,325300
38.62,27,7180.0,1387.0,2.5844,1,0,0,170800
33.73,40,3188.0,588.0,3.8694,0,0,1,276700
38.36,2,5688.0,562.0,5.3346,1,0,0,205400
34.14,35,3328.0,429.0,6.4049,1,0,0,297500
33.8,8,1527.0,396.0,3.4392,0,0,0,146500
34.04,25,3618.0,784.0,3.9976,0,0,0,360300
34.21,18,3920.0,725.0,3.2389,0,0,0,213500
34.07,30,1167.0,214.0,2.8227,0,0,0,187800
34.18,16,9170.0,1894.0,3.4887,0,0,0,189600
38.27,35,13095.0,2152.0,2.8681,1,0,0,81600
33.87,36,1410.0,257.0,3.1438,0,0,0,162800
38.37,8,7323.0,1043.0,5.1233,0,0,0,214300
34.07,30,3500.0,693.0,2.5765,1,0,0,98400
38.68,32,2463.0,338.0,4.025,1,0,0,112500
34.17,35,3378.0,387.0,7.4322,0,0,0,500301
34.0,38,2129.0,389.0,2.0132,0,0,0,108500
39.05,38,3755.0,568.0,2.8457,1,0,0,81000
33.97,29,1703.0,283.0,4.3833,1,0,0,141300
34.18,23,6433.0,738.0,6.6586,0,0,0,348600
37.68,29,2871.0,540.0,2.7042,0,1,0,205900
34.1,10,2385.0,412.0,5.275,0,0,0,167000
38.39,16,6133.0,1088.0,2.3915,0,0,0,168400
39.55,28,1730.0,246.0,3.55,1,0,0,81900
33.68,9,1928.0,297.0,6.0858,0,0,0,266200
37.33,36,2593.0,632.0,2.3972,0,0,0,187800
41.63,19,3201.0,430.0,3.4062,1,0,0,100300
32.91,15,1716.0,290.0,3.9111,0,0,0,196600
34.05,35,3034.0,554.0,4.3283,0,0,0,412800
38.58,18,8837.0,1740.0,3.389,1,0,0,141700
37.58,15,3812.0,728.0,3.6617,0,1,0,178400
36.81,15,2739.0,482.0,2.9767,1,0,0,87800
34.16,18,2300.0,522.0,3.8417,0,0,0,177400
36.6,18,1630.0,229.0,4.2844,1,0,0,118400
38.92,25,2115.0,278.0,2.975,1,0,0,104500
33.83,52,3053.0,451.0,4.4301,0,0,1,268700
33.92,36,1167.0,206.0,4.4786,0,0,0,201800
34.83,46,1806.0,271.0,2.4908,1,0,0,48400
33.75,23,5772.0,1057.0,2.0847,1,0,0,109800
34.08,52,1441.0,297.0,3.67,0,0,0,330600
33.93,31,1916.0,398.0,2.4641,0,0,0,123200
33.57,5,2498.0,446.0,4.6542,0,0,0,195900
37.76,43,3146.0,558.0,3.3465,0,0,1,274500
34.05,37,428.0,64.0,3.5125,0,0,0,125300
37.77,52,4282.0,777.0,3.9186,0,1,0,500301
37.85,52,4996.0,815.0,3.0054,0,1,0,182600
33.97,28,4111.0,656.0,3.7896,1,0,0,140600
34.0,41,1939.0,368.0,4.4083,0,0,0,324600
36.3,33,3991.0,618.0,3.0321,1,0,0,76800
36.84,7,5982.0,909.0,3.5147,1,0,0,112200
34.13,52,3276.0,327.0,12.006,0,0,0,500301
32.75,13,3568.0,690.0,2.4767,0,0,1,102100
37.34,29,6899.0,1639.0,2.8947,0,0,0,177600
36.95,16,3029.0,445.0,4.9611,0,0,0,349600
37.77,52,2327.0,477.0,3.175,0,1,0,234300
34.2,29,2823.0,388.0,5.3309,0,0,0,245100
33.96,29,3700.0,740.0,2.8556,0,0,0,146800
34.01,48,495.0,110.0,2.675,0,0,0,107800
36.22,9,4392.0,620.0,4.5011,1,0,0,108400
34.61,7,2801.0,332.0,7.4381,1,0,0,292500
39.32,14,2910.0,354.0,3.8652,1,0,0,120100
33.92,35,1500.0,184.0,5.1304,0,0,0,153100
34.05,52,4750.0,1605.0,0.9775,0,0,0,350300
36.63,40,1269.0,180.0,3.7943,0,0,0,311400
36.34,45,4554.0,770.0,2.1299,1,0,0,63400
38.7,13,3731.0,480.0,6.0133,1,0,0,167100
33.87,17,2754.0,364.0,6.599,0,0,0,286100
33.8,36,2046.0,328.0,4.7831,0,0,0,254200
36.65,43,1996.0,276.0,2.8562,1,0,0,93500
36.73,27,3262.0,460.0,5.2196,1,0,0,118200
33.89,17,4141.0,824.0,3.9946,0,0,0,265800
33.9,22,4242.0,461.0,8.1537,0,0,0,355200
32.63,29,4910.0,713.0,4.5204,0,0,1,170100
34.06,27,2755.0,534.0,1.7722,1,0,0,91600
35.4,35,3228.0,583.0,2.4818,1,0,0,63800
36.98,21,4869.0,763.0,5.1953,0,0,1,289800
37.69,42,1782.0,309.0,3.7643,0,1,0,161200
33.86,36,3317.0,507.0,4.9477,0,0,0,195000
37.45,34,4900.0,660.0,5.3457,0,0,1,395400
36.61,27,1971.0,344.0,4.6,0,0,1,226700
34.0,44,3361.0,651.0,1.732,0,0,0,124300
38.01,40,1708.0,255.0,5.3766,0,0,1,305700
34.18,17,4094.0,673.0,4.7292,0,0,1,231500
37.71,42,2388.0,409.0,3.8156,0,0,1,239700
37.27,24,5255.0,695.0,5.9895,0,0,0,289300
37.69,37,2676.0,555.0,3.2958,0,1,0,178700
32.81,33,6059.0,839.0,5.4491,0,0,1,207300
34.4,29,4679.0,613.0,6.3069,0,0,0,500301
34.04,31,1341.0,239.0,3.213,0,0,0,192800
37.7,36,1494.0,239.0,4.2702,0,1,0,194400
39.31,19,1231.0,152.0,3.1833,1,0,0,154500
34.19,15,6603.0,994.0,5.335,0,0,1,243200
37.99,38,2869.0,471.0,2.9673,1,0,0,87800
40.62,43,2530.0,389.0,2.8804,0,0,1,92400
34.02,35,1854.0,461.0,2.213,0,0,0,114600
34.13,44,2900.0,467.0,1.8156,1,0,0,76100
37.74,52,3337.0,594.0,4.9547,0,1,0,326000
36.61,13,1606.0,246.0,3.925,1,0,0,108600
33.74,52,2937.0,521.0,3.715,0,0,0,172800
34.1,33,1113.0,305.0,2.005,0,0,0,350300
34.23,43,2686.0,442.0,4.8278,0,0,0,182100
37.74,52,2213.0,394.0,3.3833,0,1,0,328400
38.31,18,1725.0,217.0,5.0356,0,1,0,333600
33.72,26,2062.0,270.0,5.8514,0,0,0,256000
36.62,26,40.0,10.0,2.525,0,0,0,150300
33.23,21,2026.0,312.0,3.7359,0,0,0,151200
38.55,52,2395.0,375.0,4.6929,1,0,0,162800
33.88,35,3976.0,696.0,3.1445,0,0,0,242400
34.04,47,2521.0,519.0,2.1333,0,0,0,151400
33.82,14,4356.0,559.0,5.4365,1,0,0,215300
33.98,25,8117.0,1004.0,7.1112,0,0,0,500301
37.71,52,3302.0,524.0,4.2567,0,1,0,251800
37.94,47,2194.0,275.0,6.5712,0,1,0,268000
36.57,32,1163.0,149.0,3.3156,1,0,0,109400
37.78,52,326.0,29.0,4.1625,0,1,0,350300
35.46,6,7282.0,1304.0,2.8437,0,0,0,146700
37.81,52,2643.0,483.0,3.0477,0,1,0,244100
34.17,26,4616.0,727.0,2.0456,1,0,0,87100
33.82,20,3126.0,472.0,6.3162,0,0,0,318800
33.75,25,1531.0,229.0,4.9167,0,0,0,237600
34.15,28,1806.0,312.0,1.9993,1,0,0,68100
34.64,16,3000.0,426.0,6.2508,1,0,0,181400
34.23,26,3655.0,586.0,4.8167,0,0,0,319300
39.49,18,847.0,114.0,2.8568,1,0,0,77400
38.35,34,1271.0,198.0,4.5115,1,0,0,119200
38.74,28,5113.0,881.0,2.4603,1,0,0,111600
33.68,26,1608.0,244.0,6.3905,0,0,0,225100
33.89,19,4494.0,871.0,3.3214,0,0,0,218700
33.82,19,1450.0,276.0,3.9422,0,0,0,209700
34.0,39,5198.0,1053.0,3.218,0,0,0,345900
38.1,5,11296.0,1580.0,4.7821,0,1,0,210300
37.98,32,1182.0,173.0,5.4118,1,0,0,227200
34.12,16,10529.0,1486.0,4.5415,1,0,0,276000
33.93,34,1809.0,287.0,5.2615,0,0,0,158100
32.8,16,1666.0,327.0,1.4853,1,0,0,72900
34.04,29,2616.0,570.0,2.3658,0,0,0,214900
36.13,25,2148.0,292.0,2.0868,1,0,0,45800
34.01,34,1447.0,199.0,2.9442,1,0,0,92300
37.09,37,1896.0,287.0,4.2306,0,0,0,261000
34.07,42,3057.0,509.0,3.3294,1,0,0,136000
34.08,23,1964.0,450.0,3.0543,0,0,0,220300
37.73,35,1334.0,210.0,2.6924,1,0,0,102500
37.8,52,4436.0,1034.0,2.3987,0,1,0,458600
33.97,29,3076.0,680.0,2.9082,0,0,0,162800
39.27,24,2728.0,95.0,4.4364,1,0,0,154800
33.94,41,1639.0,250.0,3.0401,0,0,0,132000
33.74,18,5834.0,944.0,2.4182,1,0,0,71600
34.09,35,3196.0,912.0,2.3467,0,0,0,158600
37.74,38,2136.0,354.0,4.4417,0,1,0,271100
34.27,32,712.0,113.0,6.5037,0,0,0,205700
37.88,50,1472.0,227.0,4.1672,0,1,0,217000
33.96,25,4363.0,1041.0,2.5817,0,0,0,164500
37.29,40,1883.0,341.0,1.9929,1,0,0,56200
38.43,40,1637.0,214.0,4.2107,1,0,0,130100
33.1,4,2153.0,248.0,8.045,0,0,1,237700
37.5,25,1209.0,195.0,3.4937,0,0,1,319500
33.16,26,2194.0,324.0,2.4797,1,0,0,156600
38.94,23,1862.0,147.0,4.3417,1,0,0,99600
34.12,50,2696.0,337.0,13.1763,0,0,0,500301
39.21,52,1761.0,299.0,2.5083,1,0,0,104200
33.87,38,3290.0,604.0,4.0527,0,0,0,162200
38.55,52,3774.0,558.0,2.0616,1,0,0,84400
33.97,25,3859.0,832.0,2.8686,0,0,0,177800
36.84,52,2260.0,367.0,3.2554,1,0,0,136800
34.08,5,1701.0,257.0,5.175,1,0,0,138400
34.21,27,5283.0,876.0,3.3119,0,0,0,218500
34.09,18,3804.0,573.0,3.0437,1,0,0,120500
33.85,13,2057.0,432.0,3.5303,0,0,0,201600
39.44,16,2440.0,414.0,3.5171,0,0,0,116500
34.27,36,3742.0,499.0,5.8649,0,0,0,271500
33.65,38,3194.0,399.0,3.1352,0,0,1,408600
33.75,39,2629.0,567.0,4.3795,0,0,1,400300
37.25,20,1751.0,270.0,3.3817,1,0,0,119100
33.81,34,1493.0,204.0,6.1461,0,0,0,227700
34.1,18,13004.0,1923.0,4.375,1,0,0,231400
34.44,27,3093.0,416.0,5.3294,0,0,1,280500
34.01,23,3548.0,533.0,4.7063,1,0,0,130200
41.35,16,3407.0,386.0,2.8074,1,0,0,69400
